Nume_Sala,Email_Sala,Cladire,Optiune_Delegat,PublishedCalendarUrl,PublishedICalUrl
UTCN - AIRI Observatorului 2 - Sala 11,utcn_room_airi_obs_11@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,http://outlook.office365.com/owa/calendar/a356924d5c2141debf9da6abdd01e81c@campus.utcluj.ro/28a60600f75a4a1daee5ef6be818074e3569903772639482002/calendar.html,http://outlook.office365.com/owa/calendar/a356924d5c2141debf9da6abdd01e81c@campus.utcluj.ro/28a60600f75a4a1daee5ef6be818074e3569903772639482002/calendar.ics
UTCN - AIRI Observatorului 2 - Sala 205,utcn_room_airi_obs_205@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,http://outlook.office365.com/owa/calendar/027c0f803ceb4e31a8856f79f27fbbd4@campus.utcluj.ro/010c02f6bc364b3398ed39220c813bff18176434378820300293/calendar.html,http://outlook.office365.com/owa/calendar/027c0f803ceb4e31a8856f79f27fbbd4@campus.utcluj.ro/010c02f6bc364b3398ed39220c813bff18176434378820300293/calendar.ics
UTCN - AIRI Observatorului 2 - Sala 204,utcn_room_airi_obs_204@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,http://outlook.office365.com/owa/calendar/8e2057bb15c9406a8ab61221107d9d25@campus.utcluj.ro/c4a2adc3626e4aad8b13d780d3d009fa9069223347745240968/calendar.html,http://outlook.office365.com/owa/calendar/8e2057bb15c9406a8ab61221107d9d25@campus.utcluj.ro/c4a2adc3626e4aad8b13d780d3d009fa9069223347745240968/calendar.ics
UTCN - AIRI Observatorului 2 - Sala 405,utcn_room_airi_obs_405@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,http://outlook.office365.com/owa/calendar/83ea4f20b7d448dfb295418dd094b521@campus.utcluj.ro/1793524b065942a5932c60845833e7036226699877863089493/calendar.html,http://outlook.office365.com/owa/calendar/83ea4f20b7d448dfb295418dd094b521@campus.utcluj.ro/1793524b065942a5932c60845833e7036226699877863089493/calendar.ics
UTCN - AIRI Observatorului 2 - Sala 417,utcn_room_airi_obs_417@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,http://outlook.office365.com/owa/calendar/b81d6241994b49f3ae54cfa91436edb4@campus.utcluj.ro/bd166368701d45fbb04f0e35535c965a12508232011876248634/calendar.html,http://outlook.office365.com/owa/calendar/b81d6241994b49f3ae54cfa91436edb4@campus.utcluj.ro/bd166368701d45fbb04f0e35535c965a12508232011876248634/calendar.ics
UTCN - AIRI Observatorului 2 - Sala 104,utcn_room_airi_obs_104@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,https://outlook.office365.com/owa/calendar/b4fb55fc02934f6d96997f2f28b32040@campus.utcluj.ro/b6be906df71b457c9dcf49009379de208291682664383960244/calendar.html,https://outlook.office365.com/owa/calendar/b4fb55fc02934f6d96997f2f28b32040@campus.utcluj.ro/b6be906df71b457c9dcf49009379de208291682664383960244/calendar.ics
UTCN - AIRI Observatorului 2 - Sala 516,utcn_room_airi_obs_516@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,http://outlook.office365.com/owa/calendar/0ce6184fa1ca4a82a3ad937cb6f36ec0@campus.utcluj.ro/da9f398f78474101a74296575fefbafe2842329952109476403/calendar.html,http://outlook.office365.com/owa/calendar/0ce6184fa1ca4a82a3ad937cb6f36ec0@campus.utcluj.ro/da9f398f78474101a74296575fefbafe2842329952109476403/calendar.ics
UTCN - AIRI Observatorului 2 - Sala 515,utcn_room_airi_obs_515@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,http://outlook.office365.com/owa/calendar/3cac35010fdf4a12991cedacffbe5d46@campus.utcluj.ro/8f65b6059b28493c93f8e0cc796d25e916111206743021714118/calendar.html,http://outlook.office365.com/owa/calendar/3cac35010fdf4a12991cedacffbe5d46@campus.utcluj.ro/8f65b6059b28493c93f8e0cc796d25e916111206743021714118/calendar.ics
UTCN - AIRI Observatorului 2 - Sala 526,utcn_room_airi_obs_526@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,http://outlook.office365.com/owa/calendar/00b52e72598f4084baf350119c38789a@campus.utcluj.ro/6d2cbd9a8ffd478c874ddb0e230db1ea12006300986932300667/calendar.html,http://outlook.office365.com/owa/calendar/00b52e72598f4084baf350119c38789a@campus.utcluj.ro/6d2cbd9a8ffd478c874ddb0e230db1ea12006300986932300667/calendar.ics
UTCN - AIRI Observatorului 2 - Sala 525,utcn_room_airi_obs_525@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,http://outlook.office365.com/owa/calendar/7e7abeafb13d41a99adc8916f450ee7b@campus.utcluj.ro/65a06113a888408ab894d3c5ccb5b83c9322553329796288940/calendar.html,http://outlook.office365.com/owa/calendar/7e7abeafb13d41a99adc8916f450ee7b@campus.utcluj.ro/65a06113a888408ab894d3c5ccb5b83c9322553329796288940/calendar.ics
UTCN - AIRI Observatorului 2 - Sala 524,utcn_room_airi_obs_524@campus.utcluj.ro,UTCN AIRI - Artificial Intelligence Research Institute,TRUE,http://outlook.office365.com/owa/calendar/23220f192ce440789801285500f63bbf@campus.utcluj.ro/05ee9648ab6c456b99c39c808f735d6d910544300020796397/calendar.html,http://outlook.office365.com/owa/calendar/23220f192ce440789801285500f63bbf@campus.utcluj.ro/05ee9648ab6c456b99c39c808f735d6d910544300020796397/calendar.ics
