room,date,start,end,subject,professor,title,location
506A,2025-12-30,2025-12-30T16:00:00+02:00,2025-12-30T18:00:00+02:00,Televiziune,Televiziune,Televiziune,Microsoft Teams Meeting; UTCN - ETTI Observatorului 2 - Sala 506B; UTCN - ETTI Observatorului 2 - Sala 506A
506A,2025-12-30,2025-12-30T16:00:00+02:00,2025-12-30T18:00:00+02:00,Fw: Televiziune,,Fw: Televiziune,Microsoft Teams Meeting; UTCN - ETTI Observatorului 2 - Sala 506B; UTCN - ETTI Observatorului 2 - Sala 506A
506A,2025-12-30,2025-12-30T18:00:00+02:00,2025-12-30T20:00:00+02:00,Televiziune,Televiziune,Televiziune,Microsoft Teams Meeting; UTCN - ETTI Observatorului 2 - Sala 506B; UTCN - ETTI Observatorului 2 - Sala 506A
506A,2025-12-30,2025-12-30T18:00:00+02:00,2025-12-30T20:00:00+02:00,Fw: Televiziune,,Fw: Televiziune,Microsoft Teams Meeting; UTCN - ETTI Observatorului 2 - Sala 506B; UTCN - ETTI Observatorului 2 - Sala 506A
506A,2026-01-01,2026-01-01T08:00:00+02:00,2026-01-01T10:00:00+02:00,Televiziune,Televiziune,Televiziune,Microsoft Teams Meeting; UTCN - ETTI Observatorului 2 - Sala 506B; UTCN - ETTI Observatorului 2 - Sala 506A
506A,2026-01-01,2026-01-01T08:00:00+02:00,2026-01-01T10:00:00+02:00,Fw: Televiziune,,Fw: Televiziune,Microsoft Teams Meeting; UTCN - ETTI Observatorului 2 - Sala 506B; UTCN - ETTI Observatorului 2 - Sala 506A
506A,2026-01-01,2026-01-01T10:00:00+02:00,2026-01-01T12:00:00+02:00,Televiziune,Televiziune,Televiziune,Microsoft Teams Meeting; UTCN - ETTI Observatorului 2 - Sala 506B; UTCN - ETTI Observatorului 2 - Sala 506A
506A,2026-01-01,2026-01-01T10:00:00+02:00,2026-01-01T12:00:00+02:00,Fw: Televiziune,,Fw: Televiziune,Microsoft Teams Meeting; UTCN - ETTI Observatorului 2 - Sala 506B; UTCN - ETTI Observatorului 2 - Sala 506A
506A,2026-01-01,2026-01-01T12:00:00+02:00,2026-01-01T14:00:00+02:00,Televiziune,Televiziune,Televiziune,Microsoft Teams Meeting; UTCN - ETTI Observatorului 2 - Sala 506B; UTCN - ETTI Observatorului 2 - Sala 506A
506A,2026-01-01,2026-01-01T12:00:00+02:00,2026-01-01T14:00:00+02:00,Fw: Televiziune,,Fw: Televiziune,Microsoft Teams Meeting; UTCN - ETTI Observatorului 2 - Sala 506B; UTCN - ETTI Observatorului 2 - Sala 506A
